candidate_id,source,task,equation,scaling,law_auc,baseline_auc,baseline_feature,delta_baseline,pass_reduced_gate
flagship_pysr::002,flagship_pysr,flagship,exp(exp((SLC2A1 + ((PTGER3 - NDUFA4L2) + ALB)) / exp(VEGFA)) * -0.0023506025),rank,0.9880250362093937,0.9654976205255534,CA9,0.022527415683840313,False
flagship_pysr::002,flagship_pysr,flagship,exp(exp((SLC2A1 + ((PTGER3 - NDUFA4L2) + ALB)) / exp(VEGFA)) * -0.0023506025),minmax,0.994516863231947,0.9654976205255534,CA9,0.029019242706393555,False
flagship_pysr::008,flagship_pysr,flagship,sqrt(exp(exp((SLC2A1 + (ALB + (PTGER3 - NDUFA4L2))) / exp(VEGFA)) * -0.0023012531)),raw,0.9863956134905856,0.9654976205255534,CA9,0.02089799296503214,False
flagship_pysr::008,flagship_pysr,flagship,sqrt(exp(exp((SLC2A1 + (ALB + (PTGER3 - NDUFA4L2))) / exp(VEGFA)) * -0.0023012531)),zscore,0.99231843575419,0.9654976205255534,CA9,0.026820815228636552,False
flagship_pysr::008,flagship_pysr,flagship,sqrt(exp(exp((SLC2A1 + (ALB + (PTGER3 - NDUFA4L2))) / exp(VEGFA)) * -0.0023012531)),rank,0.9880250362093937,0.9654976205255534,CA9,0.022527415683840313,False
flagship_pysr::008,flagship_pysr,flagship,sqrt(exp(exp((SLC2A1 + (ALB + (PTGER3 - NDUFA4L2))) / exp(VEGFA)) * -0.0023012531)),minmax,0.994516863231947,0.9654976205255534,CA9,0.029019242706393555,False
flagship_pysr::010,flagship_pysr,flagship,exp(-0.01540409 * exp((ALB - (CA9 / 0.39606896)) + SLC2A1)),raw,0.9835635216221807,0.9654976205255534,CA9,0.018065901096627313,False
flagship_pysr::010,flagship_pysr,flagship,exp(-0.01540409 * exp((ALB - (CA9 / 0.39606896)) + SLC2A1)),zscore,0.9831109042002897,0.9654976205255534,CA9,0.017613283674736246,False
flagship_pysr::010,flagship_pysr,flagship,exp(-0.01540409 * exp((ALB - (CA9 / 0.39606896)) + SLC2A1)),rank,0.9475222429133043,0.9654976205255534,CA9,-0.0179753776122491,False
flagship_pysr::010,flagship_pysr,flagship,exp(-0.01540409 * exp((ALB - (CA9 / 0.39606896)) + SLC2A1)),minmax,0.9837316366645976,0.9654976205255534,CA9,0.018234016139044185,False
flagship_pysr::000,flagship_pysr,flagship,exp(exp((SLC2A1 + (ALB - -2.0220485)) / exp(CA9)) * -0.0031461688),raw,0.9804598593006413,0.9654976205255534,CA9,0.014962238775087844,False
flagship_pysr::000,flagship_pysr,flagship,exp(exp((SLC2A1 + (ALB - -2.0220485)) / exp(CA9)) * -0.0031461688),zscore,0.9834988619904821,0.9654976205255534,CA9,0.018001241464928652,False
flagship_pysr::000,flagship_pysr,flagship,exp(exp((SLC2A1 + (ALB - -2.0220485)) / exp(CA9)) * -0.0031461688),rank,0.957790192427064,0.9654976205255534,CA9,-0.007707428098489455,False
flagship_pysr::000,flagship_pysr,flagship,exp(exp((SLC2A1 + (ALB - -2.0220485)) / exp(CA9)) * -0.0031461688),minmax,0.9839385474860336,0.9654976205255534,CA9,0.018440926960480164,False
flagship_pysr::007,flagship_pysr,flagship,exp(-0.0154611515 * exp(PTGER3 / exp(CA9))),raw,0.9779381336643906,0.9654976205255534,CA9,0.012440513138837206,False
flagship_pysr::007,flagship_pysr,flagship,exp(-0.0154611515 * exp(PTGER3 / exp(CA9))),zscore,0.9790244154769294,0.9654976205255534,CA9,0.013526794951375987,False
flagship_pysr::007,flagship_pysr,flagship,exp(-0.0154611515 * exp(PTGER3 / exp(CA9))),rank,0.9777053589902752,0.9654976205255534,CA9,0.012207738464721785,False
flagship_pysr::007,flagship_pysr,flagship,exp(-0.0154611515 * exp(PTGER3 / exp(CA9))),minmax,0.9834729981378028,0.9654976205255534,CA9,0.01797537761224932,False
flagship_pysr::001,flagship_pysr,flagship,sqrt(log1p(exp(CA9))),raw,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::001,flagship_pysr,flagship,sqrt(log1p(exp(CA9))),zscore,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::001,flagship_pysr,flagship,sqrt(log1p(exp(CA9))),rank,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::001,flagship_pysr,flagship,sqrt(log1p(exp(CA9))),minmax,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::004,flagship_pysr,flagship,log1p(exp(CA9)),raw,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::004,flagship_pysr,flagship,log1p(exp(CA9)),zscore,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::004,flagship_pysr,flagship,log1p(exp(CA9)),rank,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::004,flagship_pysr,flagship,log1p(exp(CA9)),minmax,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::016,flagship_pysr,flagship,log1p(sqrt(2.3882582 + CA9)),raw,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::016,flagship_pysr,flagship,log1p(sqrt(2.3882582 + CA9)),zscore,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::016,flagship_pysr,flagship,log1p(sqrt(2.3882582 + CA9)),rank,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::016,flagship_pysr,flagship,log1p(sqrt(2.3882582 + CA9)),minmax,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::023,flagship_pysr,flagship,0.87816787 + (0.25817737 * CA9),raw,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::023,flagship_pysr,flagship,0.87816787 + (0.25817737 * CA9),zscore,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::023,flagship_pysr,flagship,0.87816787 + (0.25817737 * CA9),rank,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::023,flagship_pysr,flagship,0.87816787 + (0.25817737 * CA9),minmax,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::024,flagship_pysr,flagship,exp(log1p(-0.07682814 / exp(CA9))),raw,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::024,flagship_pysr,flagship,exp(log1p(-0.07682814 / exp(CA9))),zscore,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::024,flagship_pysr,flagship,exp(log1p(-0.07682814 / exp(CA9))),rank,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::024,flagship_pysr,flagship,exp(log1p(-0.07682814 / exp(CA9))),minmax,0.9654976205255534,0.9654976205255534,CA9,0.0,False
flagship_pysr::025,flagship_pysr,flagship,sqrt(exp(-0.0077730184 * exp((CA9 * (-3.4583066 - (ALB + SLC2A1))) + PTGER3))),raw,0.9534967928822679,0.9654976205255534,CA9,-0.012000827643285583,False
flagship_pysr::025,flagship_pysr,flagship,sqrt(exp(-0.0077730184 * exp((CA9 * (-3.4583066 - (ALB + SLC2A1))) + PTGER3))),zscore,0.9947496379060625,0.9654976205255534,CA9,0.029252017380509088,False
flagship_pysr::025,flagship_pysr,flagship,sqrt(exp(-0.0077730184 * exp((CA9 * (-3.4583066 - (ALB + SLC2A1))) + PTGER3))),rank,0.9757397061866336,0.9654976205255534,CA9,0.010242085661080202,False
flagship_pysr::025,flagship_pysr,flagship,sqrt(exp(-0.0077730184 * exp((CA9 * (-3.4583066 - (ALB + SLC2A1))) + PTGER3))),minmax,0.9795934202358785,0.9654976205255534,CA9,0.014095799710325041,False
flagship_pysr::018,flagship_pysr,flagship,exp(-0.0077730184 * exp(((-3.538925 - ALB) - SLC2A1) * CA9)),raw,0.9404614111318024,0.9654976205255534,CA9,-0.025036209393751063,False
flagship_pysr::018,flagship_pysr,flagship,exp(-0.0077730184 * exp(((-3.538925 - ALB) - SLC2A1) * CA9)),zscore,0.9893311607697083,0.9654976205255534,CA9,0.02383354024415485,False
flagship_pysr::018,flagship_pysr,flagship,exp(-0.0077730184 * exp(((-3.538925 - ALB) - SLC2A1) * CA9)),rank,0.9620835919718601,0.9654976205255534,CA9,-0.003414028553693327,False
flagship_pysr::018,flagship_pysr,flagship,exp(-0.0077730184 * exp(((-3.538925 - ALB) - SLC2A1) * CA9)),minmax,0.9653424374094766,0.9654976205255534,CA9,-0.00015518311607687352,False
flagship_pysr::020,flagship_pysr,flagship,exp(exp(((VEGFA - (PTGER3 + SLC2A1)) - exp(log1p(ALB))) * CA9) * -0.0077730184),raw,0.9031915994206499,0.9654976205255534,CA9,-0.062306021104903575,False
flagship_pysr::020,flagship_pysr,flagship,exp(exp(((VEGFA - (PTGER3 + SLC2A1)) - exp(log1p(ALB))) * CA9) * -0.0077730184),zscore,0.9852576039726877,0.9654976205255534,CA9,0.019759983447134255,False
flagship_pysr::020,flagship_pysr,flagship,exp(exp(((VEGFA - (PTGER3 + SLC2A1)) - exp(log1p(ALB))) * CA9) * -0.0077730184),rank,0.9290813159528244,0.9654976205255534,CA9,-0.03641630457272904,False
flagship_pysr::020,flagship_pysr,flagship,exp(exp(((VEGFA - (PTGER3 + SLC2A1)) - exp(log1p(ALB))) * CA9) * -0.0077730184),minmax,0.9498758535071383,0.9654976205255534,CA9,-0.015621767018415111,False
flagship_pysr::022,flagship_pysr,flagship,exp(-0.028306283 * exp(CA9 * ((VEGFA - PTGER3) - (ALB + SLC2A1)))),raw,0.8620422098075728,0.9654976205255534,CA9,-0.10345541071798059,False
flagship_pysr::022,flagship_pysr,flagship,exp(-0.028306283 * exp(CA9 * ((VEGFA - PTGER3) - (ALB + SLC2A1)))),zscore,0.982166873577488,0.9654976205255534,CA9,0.016669253051934563,False
flagship_pysr::022,flagship_pysr,flagship,exp(-0.028306283 * exp(CA9 * ((VEGFA - PTGER3) - (ALB + SLC2A1)))),rank,0.8511276639768262,0.9654976205255534,CA9,-0.11436995654872728,False
flagship_pysr::022,flagship_pysr,flagship,exp(-0.028306283 * exp(CA9 * ((VEGFA - PTGER3) - (ALB + SLC2A1)))),minmax,0.8910614525139664,0.9654976205255534,CA9,-0.07443616801158703,False
flagship_pysr::013,flagship_pysr,flagship,exp(-0.013298511 * exp((ALB - VEGFA) * exp(PTGER3))),raw,0.7620654872749844,0.9654976205255534,CA9,-0.20343213325056908,False
flagship_pysr::013,flagship_pysr,flagship,exp(-0.013298511 * exp((ALB - VEGFA) * exp(PTGER3))),zscore,0.9843006414235465,0.9654976205255534,CA9,0.018803020897993017,False
flagship_pysr::013,flagship_pysr,flagship,exp(-0.013298511 * exp((ALB - VEGFA) * exp(PTGER3))),rank,0.9561349058555763,0.9654976205255534,CA9,-0.009362714669977179,False
flagship_pysr::013,flagship_pysr,flagship,exp(-0.013298511 * exp((ALB - VEGFA) * exp(PTGER3))),minmax,0.9631440099317194,0.9654976205255534,CA9,-0.002353610593833988,False
flagship_pysr::014,flagship_pysr,flagship,exp(-0.025032457 / exp(exp(PTGER3) * CA9)),raw,0.5744878957169459,0.9654976205255534,CA9,-0.3910097248086075,False
flagship_pysr::014,flagship_pysr,flagship,exp(-0.025032457 / exp(exp(PTGER3) * CA9)),zscore,0.9734378232981584,0.9654976205255534,CA9,0.007940202772604987,False
flagship_pysr::014,flagship_pysr,flagship,exp(-0.025032457 / exp(exp(PTGER3) * CA9)),rank,0.9286674943099523,0.9654976205255534,CA9,-0.03683012621560111,False
flagship_pysr::014,flagship_pysr,flagship,exp(-0.025032457 / exp(exp(PTGER3) * CA9)),minmax,0.9510655907303952,0.9654976205255534,CA9,-0.01443202979515823,False
flagship_pysr::021,flagship_pysr,flagship,exp(exp(VEGFA * (NDUFA4L2 - PTGER3)) * -0.014394815),raw,0.9790373474032692,0.9654976205255534,CA9,0.013539726877715763,False
flagship_pysr::021,flagship_pysr,flagship,exp(exp(VEGFA * (NDUFA4L2 - PTGER3)) * -0.014394815),zscore,0.984429960686944,0.9654976205255534,CA9,0.01893234016139056,False
flagship_pysr::021,flagship_pysr,flagship,exp(exp(VEGFA * (NDUFA4L2 - PTGER3)) * -0.014394815),rank,0.7670960066211463,0.9654976205255534,CA9,-0.19840161390440714,False
flagship_pysr::021,flagship_pysr,flagship,exp(exp(VEGFA * (NDUFA4L2 - PTGER3)) * -0.014394815),minmax,0.978377819159942,0.9654976205255534,CA9,0.012880198634388607,False
tier2_pysr::000,tier2_pysr,tier2,0.4159849 + ((CUBN - NDUFA4L2) * -0.09313616),raw,0.6385123135211934,0.609815297182098,CUBN,0.028697016339095383,False
tier2_pysr::000,tier2_pysr,tier2,0.4159849 + ((CUBN - NDUFA4L2) * -0.09313616),zscore,0.6372395216670614,0.609815297182098,CUBN,0.0274242244849634,False
tier2_pysr::000,tier2_pysr,tier2,0.4159849 + ((CUBN - NDUFA4L2) * -0.09313616),rank,0.6245190030783803,0.609815297182098,CUBN,0.014703705896282226,False
tier2_pysr::000,tier2_pysr,tier2,0.4159849 + ((CUBN - NDUFA4L2) * -0.09313616),minmax,0.6404955008287947,0.609815297182098,CUBN,0.030680203646696658,False
tier2_pysr::010,tier2_pysr,tier2,((CUBN - NDUFA4L2) * -0.07060441) - -0.39114887,raw,0.6385123135211934,0.609815297182098,CUBN,0.028697016339095383,False
