gene_a,gene_b,auroc
ENO1,RPL13A,0.5697688239139478
CA12,LDHB,0.5695013965650443
ALB,LDHA,0.5694122541154097
ALB,DDIT4,0.569263683366019
CA12,PDK1,0.5691151126166281
CALB1,GAPDH,0.5691151126166281
EPAS1,SLC22A8,0.5691151126166281
BHLHE40,ENO2,0.5685208296190647
CALB1,RPL13A,0.568401973019552
DDIT4,MMP9,0.5681939739704047
CA12,PCNA,0.5681345456706484
MMP9,PKM,0.5679265466215012
SLC12A1,SLC22A8,0.567718547572354
COL4A2,ENO2,0.5674808343733286
CA9,PCNA,0.5671836928745468
ALDOA,GAPDH,0.5671836928745468
EPAS1,KRT7,0.5671242645747905
COL4A2,PAX2,0.5670648362750341
KRT7,PAX8,0.5669162655256433
LRP2,PKM,0.566856837225887
AGXT,EPAS1,0.5667676947762524
COL4A2,GAPDH,0.5666488381767397
CCNB1,CXCR4,0.5665894098769834
CALB1,CXCR4,0.5663814108278362
ALB,SLC12A3,0.565816841980151
PKM,RPL13A,0.5657574136803947
PAX2,SLC12A1,0.5656088429310038
MMP9,TOP2A,0.5655494146312474
PDK1,SLC12A3,0.5655197004813692
PKM,SLC22A8,0.5654008438818565
LRP2,PTGER3,0.5653711297319783
DDIT4,SLC22A8,0.5651928448327094
COL4A2,RPL13A,0.5651631306828311
CCNB1,LDHB,0.5651037023830747
KRT7,PKM,0.5650739882331967
ACTB,PTGER3,0.5650145599334403
ENO1,LRP2,0.5649254174838058
CA9,VEGFA,0.5649254174838058
ACTB,CA12,0.5648362750341712
HK2,KRT7,0.5648065608842932
ALB,PAX8,0.5647174184346586
ANGPTL4,MMP9,0.5646877042847804
CDK1,MMP9,0.564271706186486
HK2,MMP9,0.5642717061864859
BHLHE40,CXCR4,0.5642717061864859
HK2,LDHB,0.5642717061864859
HK2,PCNA,0.5641528495869733
BHLHE40,GAPDH,0.563915136387948
PFKP,SLC12A3,0.5637665656385571
PCNA,PTGER3,0.5637071373388007
GAPDH,SLC12A1,0.5635288524395317
AGXT,NDUFA4L2,0.5632614250906282
PGK1,S100A4,0.5632019967908718
MMP9,NDUFA4L2,0.5628454269923338
PAX2,PTGER3,0.5625779996434301
CALB1,ENO2,0.5624294288940394
AGXT,HK2,0.5621025732453795
LDHA,MMP9,0.5620728590955013
CUBN,PTGER3,0.5620431449456231
PFKP,SPP1,0.5619837166458668
DDIT4,KRT7,0.5619242883461104
ACTB,SLC2A1,0.5618945741962322
LRP2,SPP1,0.5617460034468413
ENO1,PFKP,0.5608842931003744
ALB,SLC2A1,0.560824864800618
ALB,ANGPTL4,0.560616865751471
LDHA,PCNA,0.56046829500208
PAX2,SLC12A3,0.5604385808522018
LDHB,SLC2A1,0.5602305818030545
ALB,MCM2,0.5601414393534201
BHLHE40,MCM2,0.5596957271052475
MCM2,MMP9,0.5596957271052475
CALB1,PDK1,0.5595471563558566
ENO1,GAPDH,0.559428299756344
CALB1,VEGFA,0.5594282997563439
AGXT,LDHA,0.5593391573067095
ALDOA,NDUFA4L2,0.5591014441076841
PCNA,SLC2A1,0.5589825875081714
BHLHE40,S100A4,0.558566589409877
CALB1,PFKP,0.558566589409877
RPL13A,SLC12A1,0.5585071611101207
CA12,LRP2,0.5584180186604861
ANGPTL4,PGK1,0.5582397337612172
ANGPTL4,LDHB,0.5580317347120699
CXCR4,NDUFA4L2,0.5579723064123135
ALDOA,CXCR4,0.5579425922624354
GAPDH,PKM,0.5576751649135319
ACTB,LDHA,0.5576751649135319
PAX8,VEGFA,0.5575860224638973
ACTB,CA9,0.5574077375646284
ALDOA,ENO2,0.5570808819159684
CUBN,SPP1,0.557021453616212
MKI67,MMP9,0.5568728828668212
AGXT,MCM2,0.5567243121174303
BHLHE40,SLC12A3,0.5565757413680394
AGXT,PAX2,0.5564568847685267
CA12,PGK1,0.5563083140191359
CALB1,SLC22A8,0.5561300291198669
KRT7,SLC2A1,0.5560408866702324
BHLHE40,NDUFA4L2,0.5558626017709634
CA9,PGK1,0.5558328876210853
CA9,CXCR4,0.5558328876210852
ALDOA,S100A4,0.555803173471207
COL4A2,S100A4,0.5557734593213288
COL4A2,CUBN,0.5556248885719379
LDHB,SLC12A3,0.5555951744220597
MCM2,VEGFA,0.5555060319724253
KRT7,LDHA,0.5554168895227907
LDHA,LDHB,0.5552386046235217
KRT7,SLC12A1,0.5549711772746181
