sample_id,label,TOP2A,MKI67,CDK1,CCNB1,PCNA,EPCAM,SOX9,CD44,VIM,ZEB1,CDH1,CDH2,SNAI1,EPAS1,HIF1A,VEGFA,GPC3,TERT,AFP
TCGA-DD-A3A2-01A,0,0.7500061502042006,0.36165608306274905,0.74743036833646,1.250173331534433,4.847711344901803,0.0663992289113826,0.9850631837366376,1.1998136631432597,3.6167928867056602,1.9336859344699397,5.073755978815646,4.076251232618599,1.0826344718090066,5.023055703564017,3.029170149931306,3.728606252198384,1.322389683450215,1.5517374804648711,2.2910141014173027
TCGA-G3-A3CH-01A,0,3.942908553580417,2.7475377844471867,2.624732593554162,4.043825672974341,7.846228772547973,0.4104496554618034,2.98006186999174,2.175173265663797,6.060715383624385,2.9038866647512327,5.2951719919885285,4.950039087844329,2.72194131268466,6.825900082157393,4.098183715930238,4.32524248339404,2.736864601978576,0.0,1.7072155457164164
TCGA-DD-A1EI-01A,0,4.7284538808942465,2.687329488460079,3.6913778272647435,5.1416330605080365,6.721300194771079,2.5809896241462327,5.31015831794782,3.42871860334378,7.019683013412682,3.602587527342561,6.639197426995447,5.569278414868203,3.0041058328299335,7.072232309510518,5.473653803546334,4.440620047679168,9.437062076525505,0.41910736678436106,7.1809066920054665
TCGA-RC-A6M4-01A,0,3.6743024526412023,1.6234923304277264,3.0903622886888433,4.059303356275189,7.4853519532190855,0.279768421593595,4.406978771346743,1.199436783558857,4.147721861652415,2.325443983145681,2.9210744690902617,4.117345961317673,0.4118600737378197,5.497535726396004,3.7575353550288004,4.6058380174950555,6.720067737556238,0.28640805546029896,4.187245166279426
TCGA-DD-A3A9-01A,0,2.392344902422591,1.7678666321766285,2.42639895265028,3.539729571067321,6.546468531960116,3.56619411363325,3.1139004892361,2.792126534443029,7.658284329870111,2.6886279834868527,4.996890348303038,4.234830840336715,3.64307115012233,7.0668458685657125,4.359963862572406,3.7173309573364928,5.950736678226765,0.0,3.7019260379038164
TCGA-BC-A112-01A,0,5.091953658441642,3.4809888734786947,3.4001690115277627,5.577591971758075,7.212171453438838,1.8204444960026733,7.564387314954335,3.0319773798734553,6.764882203626091,3.3549316627335037,7.357013532576792,5.484279944119377,3.0250642411086637,6.9893297793631755,7.190414362232829,5.121902302829106,2.9415007439477447,0.437014621984996,5.643036506179315
TCGA-G3-A25Y-01A,0,5.621454112332158,3.4809759525295174,4.981564998704308,5.566471179380181,8.85203973703701,8.476789939715662,7.272737079243376,3.1166309120363063,7.183787210003968,3.21654798930695,7.248410545582397,5.559583584779821,4.774918806557193,7.063265637421852,6.375192383676822,5.810790110987863,11.004362762131707,0.03449746419944489,3.990954860396993
TCGA-BC-A10S-01A,1,0.9344032705861745,0.6329196081178111,1.0157116455734194,2.117096565771126,5.7119050803229925,1.3065538994965362,3.8296872221556604,3.4689612093011974,6.9026223263103885,2.1806571075600765,5.609042774814785,4.873394893934555,3.789802270968827,6.036865940027807,4.4736635435775085,3.8804994222482696,3.4865727992205464,0.1984941536390832,2.0247806437829574
TCGA-BC-A216-01A,0,6.253159175369457,5.263071975527964,5.767525034587822,5.200904488574618,7.416576304441941,6.571039650876701,4.983764326754896,3.135797512223391,5.611018893683853,2.7813387287169022,5.399372783530024,4.294628100185208,0.7742494073047683,6.995650713200361,5.591048039885378,7.309444520975222,7.62315648618329,4.648701271027051,3.5114933406155755
TCGA-DD-A4NR-01A,0,4.791574470140682,4.196174233611985,4.297228107224443,5.514532596461126,7.6251645339133916,0.30836087519861305,3.758473748785078,4.9805006347387835,7.544068795505222,2.1956310694966623,6.976558395582457,3.7627208702922843,2.5582186452769444,6.454327262917641,5.482209381292884,4.861131582311353,9.637375858792115,1.0938305716351358,12.583666639875876
TCGA-DD-A119-01A,1,1.8823300239388154,0.9728396727591956,2.1760354817506418,3.1652848934218403,6.636233082331499,6.156754576086411,2.5522786909904362,2.1767376473965445,6.3829507843100926,1.7173419257740221,5.076982298846304,4.05078028395287,2.593377676251022,4.565767754710171,3.8369239154492316,3.3782341552192388,10.284380063460354,0.03210084316702408,3.0619489650907448
TCGA-BC-A217-01A,1,5.587884003727973,3.755314904045098,4.689058691322752,5.125762671494044,8.325673784447137,0.5626698261027021,4.035843815994525,2.8386492834534267,5.217727042033043,2.875013304761866,6.209114097447054,5.58325430070498,1.218595201550857,5.013569452978944,4.89371653043361,4.2047980452184675,8.690099620200844,1.818277949242396,4.126535159161115
TCGA-EP-A2KC-01A,0,4.306502863293211,2.1547452131452838,2.751056606916314,4.057632222246501,6.793327585943048,4.410470007836503,5.817001536874163,3.9355540385174494,5.774708005652229,2.8385282722940794,3.9100898287629593,4.854090426932199,1.2662168447313744,5.948140588003353,4.475013524864599,5.037672137672391,8.457147320060416,0.44540889410960005,2.0431694948641095
TCGA-BC-A3KG-01A,1,7.271170724153643,4.5212078162239875,6.05495263894223,6.768930627129167,8.837879870371774,0.1984941536390832,0.125915549474723,2.4351751805601927,5.668521960777871,3.6021242703712577,4.900997187917155,6.075671674255777,0.506500390433616,5.239084843147049,5.192474311352928,6.160522924575171,10.43820249315176,3.855052837011221,4.415265156626869
TCGA-DD-A118-01A,0,3.4520418649419473,2.5059671263994763,2.3980493213839646,4.729748524309916,6.403974919539843,5.169860880237791,3.5437804350012856,1.6955484681330995,5.926497631795051,3.1360272851619158,8.17517725859247,0.4358419158092276,1.7048719644563528,6.7803468484489935,4.304686257287879,4.769554895620114,9.81465519961401,0.02842770457266734,5.988893692015871
TCGA-DD-A4NJ-01A,0,6.230896597829066,4.770474934563776,4.403785799547959,5.659262410331694,8.497428344803964,0.4439248579337417,0.900026298964851,4.199099078639974,6.572488021985227,3.5860921694406795,6.52821810288909,5.1584259001322295,2.199845065331668,6.6623436658443875,5.996140140357042,4.964948433608565,10.311468602558254,0.5131875203708554,2.8839335617976025
